round,alive_nodes,total_energy_joules,harvested_energy_joules,reroute_events
142,50,99.73924885627429,0.0,0
143,50,99.71835953461333,0.0,0
144,50,99.69673660984036,0.0,0
145,50,99.95215468301173,0.27678002640836175,0
146,50,99.97979024514869,0.047845316988271325,0
147,50,99.97733428135766,0.02020975485131271,0
148,50,99.97813498147018,0.02266571864234579,0
149,50,99.97694165205915,0.021865018529828584,0
150,50,99.97829743931648,0.023058347940846824,0
151,50,99.97797298401352,0.021702560683517502,0
152,50,99.97917102297482,0.022027015986474385,0
153,50,99.9764212103111,0.020828977025177275,0
154,50,99.97812003888217,0.023578789688900148,0
155,50,99.97716746245959,0.021879961117838187,0
156,50,99.95411517455527,0.0,0
157,50,99.93038515423271,0.0,0
158,50,99.90915477537291,0.0,0
159,50,99.88824228885873,0.0,0
160,50,99.86565010705951,0.0,0
161,50,99.84428789331646,0.0,0
162,50,99.82228854861116,0.0,0
163,50,99.79981737547041,0.0,0
164,50,99.77593627589211,0.0,0
165,50,99.7542535749547,0.0,0
166,50,99.7337579228009,0.0,0
167,50,99.71031426584207,0.0,0
168,50,99.68758048607222,0.0,0
169,50,99.95412558747222,0.28811717361014866,0
170,50,99.97807244607445,0.045874412527787234,0
171,50,99.97924802795362,0.021927553925545906,0
172,50,99.97602572323801,0.020751972046377132,0
173,50,99.97787810625547,0.02397427676199171,0
174,50,99.97575375583024,0.022121893744528887,0
175,50,99.97843574940839,0.02424624416976018,0
176,50,99.97822590670307,0.02156425059161582,0
177,50,99.977455937936,0.021774093296931696,0
178,50,99.97942723722755,0.02254406206400117,0
179,50,99.97931900281061,0.020572762772440134,0
180,50,99.95812844375352,0.0,0
181,50,99.93683342731416,0.0,0
182,50,99.91614996292515,0.0,0
183,50,99.89403107247799,0.0,0
184,50,99.87291333920994,0.0,0
185,50,99.85240454785165,0.0,0
186,50,99.83133543535067,0.0,0
187,50,99.8093447804424,0.0,0
188,50,99.78692858597705,0.0,0
189,50,99.76591280548837,0.0,0
190,50,99.74494444415532,0.0,0
191,50,99.72146562184712,0.0,0
192,50,99.7008196015713,0.0,0
193,50,99.95228078394977,0.2719794740590966,0
194,50,99.97917715038366,0.04771921605021867,0
195,50,99.97921384944686,0.020822849616342065,0
196,50,99.97910239086212,0.020786150553140148,0
197,50,99.97917219315143,0.020897609137870754,0
198,50,99.974989744951,0.020827806848577213,0
199,50,99.97875273999674,0.02501025504899279,0
200,50,99.97609913905036,0.021247260003261825,0
